date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:41:02	28428/28428	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Nov%202023%2014:10:57%20GMT	https://www.jbktutorials.com/corejava/introduction-to-java.php	F:/JavaRavish2/JavaRavish/www.jbktutorials.com/corejava/introduction-to-java.html	(from )
19:41:03	183/183	---MCZ	200	added ('OK')	text/plain	date:Wed,%2018%20Mar%202020%2012:45:14%20GMT	https://www.jbktutorials.com/robots.txt		(from )
19:41:03	75349/75349	---M--	200	added ('OK')	image/png	date:Thu,%2028%20Nov%202019%2005:50:47%20GMT	https://www.jbktutorials.com/images/jbktutorialslogo3square.png	F:/JavaRavish2/JavaRavish/www.jbktutorials.com/images/jbktutorialslogo3square.png	(from https://www.jbktutorials.com/corejava/introduction-to-java.php)
19:41:03	6698/6698	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Nov%202019%2009:10:49%20GMT	https://www.jbktutorials.com/images/favicon/android-chrome-192x192.png	F:/JavaRavish2/JavaRavish/www.jbktutorials.com/images/favicon/android-chrome-192x192.png	(from https://www.jbktutorials.com/corejava/introduction-to-java.php)
19:41:04	6173/6173	---M--	200	added ('OK')	image/png	date:Sat,%2030%20Nov%202019%2009:10:49%20GMT	https://www.jbktutorials.com/images/favicon/apple-touch-icon.png	F:/JavaRavish2/JavaRavish/www.jbktutorials.com/images/favicon/apple-touch-icon.png	(from https://www.jbktutorials.com/corejava/introduction-to-java.php)
19:41:04	155715/155715	---MCZ	200	added ('OK')	text/css	date:Thu,%2007%20May%202020%2019:24:59%20GMT	https://www.jbktutorials.com/vendor/bootstrap/css/bootstrap.min.css	F:/JavaRavish2/JavaRavish/www.jbktutorials.com/vendor/bootstrap/css/bootstrap.min.css	(from https://www.jbktutorials.com/corejava/introduction-to-java.php)
19:41:04	50118/50118	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20Dec%202021%2010:27:03%20GMT	https://www.jbktutorials.com/css/customcss.css	F:/JavaRavish2/JavaRavish/www.jbktutorials.com/css/customcss.css	(from https://www.jbktutorials.com/corejava/introduction-to-java.php)
19:41:04	41065/41065	---MCZ	200	added ('OK')	text/css	date:Mon,%2007%20Oct%202019%2008:26:58%20GMT	https://www.jbktutorials.com/vendor/fontawesome-free-5.0.13/web-fonts-with-css/css/fontawesome-all.min.css	F:/JavaRavish2/JavaRavish/www.jbktutorials.com/vendor/fontawesome-free-5.0.13/web-fonts-with-css/css/fontawesome-all.min.css	(from https://www.jbktutorials.com/corejava/introduction-to-java.php)
19:41:05	943/943	---MCZ	200	added ('OK')	text/css	date:Thu,%2016%20Jan%202020%2012:01:27%20GMT	https://www.jbktutorials.com/vendor/syntaxhighlighter/styles/a11y-light.css	F:/JavaRavish2/JavaRavish/www.jbktutorials.com/vendor/syntaxhighlighter/styles/a11y-light.css	(from https://www.jbktutorials.com/corejava/introduction-to-java.php)
19:41:05	7831/7831	---MCZ	200	added ('OK')	text/css	date:Wed,%2015%20Jan%202020%2011:09:10%20GMT	https://www.jbktutorials.com/vendor/jquery-viewer-master/docs/css/viewer.css	F:/JavaRavish2/JavaRavish/www.jbktutorials.com/vendor/jquery-viewer-master/docs/css/viewer.css	(from https://www.jbktutorials.com/corejava/introduction-to-java.php)
